"Newick File","Data File","Number of unrooted trees on terrace" 
"Allium.nwk","Allium.data",973215
"Allium_Reduced.nwk","Allium_Reduced.data",730680125
"Allium_Tiny.nwk","Allium_Tiny.data",37
"Asplenium.nwk.1","Asplenium.data.1",1
"Asplenium.nwk.2","Asplenium.data.2",95
"Bouchenak.nwk","Bouchenak.data",61261515
"Caryophyllaceae.nwk","Caryophyllaceae.data",718346120625
"Eucalyptus.nwk.1","Eucalyptus.data.1",229
"Eucalyptus.nwk.2","Eucalyptus.data.2",267
"Eucalyptus.nwk.3","Eucalyptus.data.3",1
"Euphorbia.nwk.1","Euphorbia.data.1",759
"Euphorbia.nwk.2","Euphorbia.data.2",759
"Ficus.nwk.1","Ficus.data.1",283815
"Ficus.nwk.2","Ficus.data.2",851445
"Ficus.nwk.3","Ficus.data.3",851445
"Iris.nwk","Iris.data",1
"Meredith.mammals.nwk","Meredith.mammals.data",1
"Meusemann.nwk","Meusemann.data",1
"Miadlikowska.fungi.nwk","Miadlikowska.fungi.data",11655
"Misof.insects.nwk","Misof.insects.data",1
"Primula.nwk","Primula.data",2835
"Pyron.nwk","Pyron.data",2205
"Rabosky.scincids.nwk","Rabosky.scincids.data",3
"Ranunculus.nwk","Ranunculus.data",3
"Rhododendron.nwk","Rhododendron.data",81
"Rosaceae.nwk","Rosaceae.data",171924246129452853684375
"Shi.bats.nwk","Shi.bats.data",242234933881884349476362274404296875
"Solanum.nwk","Solanum.data",211865625
"Springer.primates.nwk","Springer.primates.data",70840575
"Szygium.nwk.1","Szygium.data.1",45
"Szygium.nwk.2","Szygium.data.2",45
"Tolley.chameleons.nwk","Tolley.chameleons.data",1
"Yang.caryo.1122.nwk","Yang.caryo.1122.data",1
"Yang.caryo.209.nwk","Yang.caryo.209.data",1
