tree,dataset,time (s),memory (kB)
Allium.nwk,Allium.data,0.41,20668
Allium_Reduced.nwk,Allium_Reduced.data,54.24,20272
Allium_Tiny.nwk,Allium_Tiny.data,0.37,19640
Asplenium.nwk.1,Asplenium.data.1,0.48,23368
Asplenium.nwk.2,Asplenium.data.2,0.39,22916
Bouchenak.nwk,Bouchenak.data,0.72,28680
Caryophyllaceae.nwk,Caryophyllaceae.data,0.93,28100
Eucalyptus.nwk.1,Eucalyptus.data.1,0.57,23804
Eucalyptus.nwk.2,Eucalyptus.data.2,0.58,23856
Eucalyptus.nwk.3,Eucalyptus.data.3,0.33,19832
Euphorbia.nwk.1,Euphorbia.data.1,0.51,24152
Euphorbia.nwk.2,Euphorbia.data.2,0.60,24340
Ficus.nwk.1,Ficus.data.1,0.51,23300
Ficus.nwk.2,Ficus.data.2,0.44,23260
Ficus.nwk.3,Ficus.data.3,0.64,23380
Iris.nwk,Iris.data,0.48,23632
Meredith.mammals.nwk,Meredith.mammals.data,2.10,61604
Meusemann.nwk,Meusemann.data,3.74,99212
Miadlikowska.fungi.nwk,Miadlikowska.fungi.data,7.52,76828
Misof.insects.nwk,Misof.insects.data,31.32,683880
Primula.nwk,Primula.data,0.60,25856
Pyron.nwk,Pyron.data,2.31,43932
Rabosky.scincids.nwk,Rabosky.scincids.data,0.82,30288
Ranunculus.nwk,Ranunculus.data,0.60,25460
Rhododendron.nwk,Rhododendron.data,0.45,23288
Rosaceae.nwk,Rosaceae.data,1.66,36980
Shi.bats.nwk,Shi.bats.data,6.12,59328
Solanum.nwk,Solanum.data,0.70,25884
Springer.primates.nwk,Springer.primates.data,8.96,130984
Szygium.nwk.1,Szygium.data.1,0.48,23028
Szygium.nwk.2,Szygium.data.2,0.46,22968
Tolley.chameleons.nwk,Tolley.chameleons.data,0.93,31696
Wick.1kp.few.genes.nwk,Wick.1kp.few.genes.data,0.68,28004
Wick.1kp.many.genes.nwk,Wick.1kp.many.genes.data,25.83,610408
Yang.caryo.1122.nwk,Yang.caryo.1122.data,43.42,992168
Yang.caryo.209.nwk,Yang.caryo.209.data,8.41,211984
